[SAVE] New best avg score: 100.00
Episode 147/50000, Score: 50, Reward: -0.09999999999999432, Avg: 51.666666666666664, Actor loss: -9.0897, Critic loss: 71.8915, Total loss: 26.8560
Episode 148/50000, Score: 30, Reward: -0.5999999999999996, Avg: 50.0, Actor loss: -3.8737, Critic loss: 20.3528, Total loss: 6.3028
Episode 149/50000, Score: 30, Reward: 1.5, Avg: 47.5, Actor loss: -5.6098, Critic loss: 27.1347, Total loss: 7.9576
Episode 150/50000, Score: 30, Reward: -1.0, Avg: 47.5, Actor loss: -5.0655, Critic loss: 20.4514, Total loss: 5.1602
Episode 151/50000, Score: 70, Reward: 15.500000000000004, Avg: 50.0, Actor loss: 1.3547, Critic loss: 74.6144, Total loss: 38.6620
Episode 152/50000, Score: 30, Reward: -3.5, Avg: 45.833333333333336, Actor loss: -5.6062, Critic loss: 22.7624, Total loss: 5.7750
Episode 153/50000, Score: 50, Reward: 5.800000000000011, Avg: 45.833333333333336, Actor loss: -9.6260, Critic loss: 57.2887, Total loss: 19.0183
Episode 154/50000, Score: 60, Reward: 5.800000000000011, Avg: 46.666666666666664, Actor loss: -10.5767, Critic loss: 69.4769, Total loss: 24.1617
Episode 155/50000, Score: 50, Reward: 9.0, Avg: 48.333333333333336, Actor loss: 2.2043, Critic loss: 40.2743, Total loss: 22.3414
Episode 156/50000, Score: 30, Reward: -0.40000000000000036, Avg: 44.166666666666664, Actor loss: -0.9537, Critic loss: 13.2710, Total loss: 5.6818
Episode 157/50000, Score: 40, Reward: 5.5000000000000036, Avg: 41.666666666666664, Actor loss: -3.0506, Critic loss: 33.4804, Total loss: 13.6896
Episode 158/50000, Score: 30, Reward: -3.700000000000001, Avg: 41.666666666666664, Actor loss: -9.1309, Critic loss: 46.7983, Total loss: 14.2683
Episode 159/50000, Score: 50, Reward: 3.200000000000003, Avg: 41.666666666666664, Actor loss: -6.1163, Critic loss: 40.8666, Total loss: 14.3170
