episode,total_reward,epsilon
1155,-139.24,0.02
1156,-116.41,0.02
1157,-4877.08,0.02
1158,-151.38,0.02
1159,-180.47,0.02
1160,-2541.77,0.02
1161,-135.12,0.02
1162,-282.02,0.02
1163,-2585.82,0.02
1164,-101.47,0.02
1165,-7070.83,0.02
1166,-7417.16,0.02
1167,-164.2,0.02
1168,-271.6,0.02
1169,-187.75,0.02
1170,-155.97,0.02
1171,-169.65,0.02
1172,-7229.87,0.02
1173,-4824.68,0.02
1174,-2992.26,0.02
1175,-151.11,0.02
1176,-113.5,0.02
1177,-158.89,0.02
1178,-172.37,0.02
1179,-2582.71,0.02
1180,-251.15,0.02
1181,-192.38,0.02
1182,-172.07,0.02
1183,-5688.95,0.02
1184,-124.23,0.02
1185,-117.85,0.02
1186,-2636.38,0.02
1187,-4806.77,0.02
1188,-220.41,0.02
